slug,group,order,name_en
_capital-city,00_place,1,Capital city
capital-city,00_place,1,Capital city
_city-pop-more-than-100-000,00_place,2,"City, pop. more than 100 000"
city-pop-more-than-100-000,00_place,2,"City, pop. more than 100 000"
_town-pop-50-001-to-100-000,00_place,3,"Town, pop. 50 001 to 100 000"
_town-pop-more-than-50-000,00_place,3,"Town, pop. more than 50 000"
town-pop-50-001-to-100-000,00_place,3,"Town, pop. 50 001 to 100 000"
_town-pop-10-001-to-50-000,00_place,4,"Town, pop. 10 001 to 50 000"
_town-pop-less-than-50-000,00_place,4,"Town, pop. less than 50 000"
town-pop-10-001-to-50-000,00_place,4,"Town, pop. 10 001 to 50 000"
_town-pop-less-than-10-000,00_place,5,"Town, pop. less than 10 000"
town-pop-less-than-10-000,00_place,5,"Town, pop. less than 10 000"
cycling-route,01_cycling,1,Cycling route
mtb-track,01_cycling,2,MTB track
mtb-track-scale-0,01_cycling,3,MTB track scale 0
mtb-track-scale-1,01_cycling,4,MTB track scale 1
mtb-track-scale-2,01_cycling,5,MTB track scale 2
mtb-track-scale-3,01_cycling,6,MTB track scale 3
mtb-track-scale-4-to-6,01_cycling,7,MTB track scale 4 to 6
downhill,01_cycling,8,Downhill
uphill,01_cycling,9,Uphill
dangeruos-spot,01_cycling,10,Dangeruos spot
red-hiking-trail,02_hiking-trails,1,Red hiking trail
red-dotted-hiking-trail,02_hiking-trails,2,Red dotted hiking trail
red-supplementary-hiking-trail,02_hiking-trails,3,Red supplementary hiking trail
red-nature-trail,02_hiking-trails,4,Red nature trail
red-hiking-trail-branch-to-a-peak,02_hiking-trails,5,Red hiking trail branch to a peak
red-hiking-trail-branch-to-a-poi,02_hiking-trails,6,Red hiking trail branch to a POI
red-hiking-trail-branch-to-a-spring,02_hiking-trails,7,Red hiking trail branch to a spring
red-hiking-trail-branch-to-a-castle,02_hiking-trails,8,Red hiking trail branch to a castle
red-spa-path,02_hiking-trails,9,Red spa path
green-hiking-trail,02_hiking-trails,21,Green hiking trail
green-dotted-hiking-trail,02_hiking-trails,22,Green dotted hiking trail
green-supplementary-hiking-trail,02_hiking-trails,23,Green supplementary hiking trail
green-nature-trail,02_hiking-trails,24,Green nature trail
green-hiking-trail-branch-to-a-peak,02_hiking-trails,25,Green hiking trail branch to a peak
green-hiking-trail-branch-to-a-poi,02_hiking-trails,26,Green hiking trail branch to a POI
green-hiking-trail-branch-to-a-spring,02_hiking-trails,27,Green hiking trail branch to a spring
green-hiking-trail-branch-to-a-castle,02_hiking-trails,28,Green hiking trail branch to a castle
green-spa-path,02_hiking-trails,29,Green spa path
blue-hiking-trail,02_hiking-trails,41,Blue hiking trail
blue-dotted-hiking-trail,02_hiking-trails,42,Blue dotted hiking trail
blue-supplementary-hiking-trail,02_hiking-trails,43,Blue supplementary hiking trail
blue-nature-trail,02_hiking-trails,44,Blue nature trail
blue-hiking-trail-branch-to-a-peak,02_hiking-trails,45,Blue hiking trail branch to a peak
blue-hiking-trail-branch-to-a-poi,02_hiking-trails,46,Blue hiking trail branch to a POI
blue-hiking-trail-branch-to-a-spring,02_hiking-trails,47,Blue hiking trail branch to a spring
blue-hiking-trail-branch-to-a-castle,02_hiking-trails,48,Blue hiking trail branch to a castle
blue-spa-path,02_hiking-trails,49,Blue spa path
yellow-hiking-trail,02_hiking-trails,61,Yellow hiking trail
yellow-dotted-hiking-trail,02_hiking-trails,62,Yellow dotted hiking trail
yellow-supplementary-hiking-trail,02_hiking-trails,63,Yellow supplementary hiking trail
yellow-nature-trail,02_hiking-trails,64,Yellow nature trail
yellow-hiking-trail-branch-to-a-peak,02_hiking-trails,65,Yellow hiking trail branch to a peak
yellow-hiking-trail-branch-to-a-poi,02_hiking-trails,66,Yellow hiking trail branch to a POI
yellow-hiking-trail-branch-to-a-spring,02_hiking-trails,67,Yellow hiking trail branch to a spring
yellow-hiking-trail-branch-to-a-castle,02_hiking-trails,68,Yellow hiking trail branch to a castle
yellow-spa-path,02_hiking-trails,69,Yellow spa path
motorway-trunk-road,03_highway,1,"Motorway, trunk road"
primary-road,03_highway,2,Primary road
secondary-road,03_highway,3,Secondary road
tertiary-road,03_highway,4,Tertiary road
unclassified-road,03_highway,5,Unclassified road
other-road,03_highway,6,Other road
footway,03_highway,7,Footway
pedestrian-area,03_highway,7,Pedestrian area
steps,03_highway,8,Steps
raceway,03_highway,11,Raceway
_underpass,03_highway,12,Underpass
underpass,03_highway,12,Underpass
_bridleway,03_highway,13,Bridleway
cycleway,03_highway,13,Cycleway
_paved-track,03_highway,14,Paved track
_track,03_highway,14,Track
paved-track,03_highway,14,Paved track
_partially-paved-track,03_highway,15,Partially paved track
partially-paved-track,03_highway,15,Partially paved track
_gravel-track,03_highway,16,Gravel track
gravel-track,03_highway,16,Gravel track
_mud-unpaved-track,03_highway,17,Mud unpaved track
mud-unpaved-track,03_highway,17,Mud unpaved track
_grass-unpaved-track,03_highway,18,Grass unpaved track
grass-unpaved-track,03_highway,18,Grass unpaved track
_other-unpaved-track,03_highway,19,Other unpaved track
other-unpaved-track,03_highway,19,Other unpaved track
path,03_highway,20,Path
_highway-or-trunk-road-link,03_highway,21,Highway or trunk road link
_primary-road-link,03_highway,22,Primary road link
_secondary-road-link,03_highway,23,Secondary road link
motorway-bridge,03_highway,31,Motorway bridge
primary-road-bridge,03_highway,32,Primary road bridge
secondary-road-bridge,03_highway,33,Secondary road bridge
tertiary-road-bridge,03_highway,34,Tertiary road bridge
unclassified-road-bridge,03_highway,35,Unclassified road bridge
other-road-bridge,03_highway,37,Other road bridge
_pedestrian-area-bridge,03_highway,38,Pedestrian area bridge
motorway-tunnel,03_highway,41,Motorway tunnel
primary-road-tunnel,03_highway,42,Primary road tunnel
secondary-road-tunnel,03_highway,43,Secondary road tunnel
tertiary-road-tunnel,03_highway,44,Tertiary road tunnel
unclassified-road-tunnel,03_highway,45,Unclassified road tunnel
_service-tunnel,03_highway,46,Service tunnel
_other-road-under-construction,03_highway,47,Other road under construction
other-road-tunnel,03_highway,47,Other road tunnel
motorway-or-trunk-road-under-construction,03_highway,51,Motorway or trunk road under construction
primary-road-under-construction,03_highway,52,Primary road under construction
secondary-road-under-construction,03_highway,53,Secondary road under construction
_tertiary-road-under-construction,03_highway,54,Tertiary road under construction
road-under-construction,03_highway,54,Road under construction
abandoned-road,03_highway,55,Abandoned road
oneway-street,03_highway,61,Oneway street
_roundabout,03_highway,62,Roundabout
_turning-circle,03_highway,62,Turning circle
roundabout,03_highway,62,Roundabout
lights,03_highway,63,Lights
_gate,03_highway,64,Gate
gate,03_highway,64,Gate
_bollard,03_highway,65,Bollard
bollard,03_highway,65,Bollard
private-road,03_highway,66,Private road
no-access-for-bicycles,03_highway,67,No access for bicycles
no-access-bicycles-allowed,03_highway,68,"No access, bicycles allowed"
bicycle-parking,03_highway,69,Bicycle parking
_highway-area,03_highway,71,Highway area
_pedestrian-area,03_highway,72,Pedestrian area
_parking-aisle,03_highway,73,Parking aisle
way-continues-not-mapped-yet,03_highway,99,"Way continues, not mapped yet"
railway,04_public-transport,1,Railway
electrified-railway,04_public-transport,2,Electrified railway
railway-bridge,04_public-transport,3,Railway bridge
railway-tunnel,04_public-transport,4,Railway tunnel
_railway-crossing,04_public-transport,5,Railway crossing
railway-crossing,04_public-transport,5,Railway crossing
narrow-gauge-railway,04_public-transport,6,Narrow gauge railway
narrow-gauge-railway-tunnel,04_public-transport,7,Narrow gauge railway tunnel
_light-rail,04_public-transport,8,Light rail
side-railway,04_public-transport,8,Side railway
historic-railway,04_public-transport,9,Historic railway
_subway,04_public-transport,10,Subway
subway,04_public-transport,10,Subway
subway-overground,04_public-transport,11,Subway overground
_tram-tunnel,04_public-transport,12,Tram tunnel
tram,04_public-transport,12,Tram
platform,04_public-transport,13,Platform
cable-car,04_public-transport,21,Cable car
gondola,04_public-transport,22,Gondola
chair-lift,04_public-transport,23,Chair lift
drag-lift,04_public-transport,24,Drag lift
