slug,group,order,name_en
abandoned-road,,,Abandoned road
airport,,,Airport
_airport,,,Airport
_airport-terminal,,,Airport terminal
allotments,,,Allotments
alpine-hut,,,Alpine hut
_aquaduct,,,Aquaduct
archeological-site,,,Archeological site
_archeological-site,,,Archeological site
atm,,,Atm
bank,,,Bank
bar,,,Bar
barracks,,,Barracks
beach,,,Beach
bicycle-parking,,,Bicycle parking
blue-dotted-hiking-trail,,,Blue dotted hiking trail
blue-hiking-trail,,,Blue hiking trail
blue-hiking-trail-branch-to-a-castle,,,Blue hiking trail branch to a castle
blue-hiking-trail-branch-to-a-peak,,,Blue hiking trail branch to a peak
blue-hiking-trail-branch-to-a-poi,,,Blue hiking trail branch to a POI
blue-hiking-trail-branch-to-a-spring,,,Blue hiking trail branch to a spring
blue-nature-trail,,,Blue nature trail
blue-spa-path,,,Blue spa path
blue-supplementary-hiking-trail,,,Blue supplementary hiking trail
bollard,,,Bollard
_bollard,,,Bollard
_bridleway,,,Bridleway
building,,,Building
bunker,,,Bunker
bunker-pillow,,,Bunker – pillow
bunker-pillow-ruins,,,Bunker pillow ruins
bunker-ruins,,,Bunker ruins
bus-station,,,Bus station
bus-stop,,,Bus stop
cable-car,,,Cable car
cafe,,,Cafe
camp,,,Camp
campsite,,,Campsite
_canal,,,Canal
capital-city,,,Capital city
_capital-city,,,Capital city
caravan-site,,,Caravan site
car-sharing,,,Car sharing
_castle,,,Castle
cave-entrance,,,Cave entrance
_cave-entrance,,,Cave entrance
cemetery,,,Cemetery
cinema,,,Cinema
city-pop-more-than-100-000,,,"City, pop. more than 100 000"
_city-pop-more-than-100-000,,,"City, pop. more than 100 000"
cliff,,,Cliff
construction,,,Construction
contours-10-m,,,Contours (10 m)
contours-100-m,,,Contours (100 m)
_contours-100-m-label,,,Contours (100 m) label
contours-20-m,,,Contours (20 m)
contours-50-m,,,Contours (50 m)
_contours-50-m-label,,,Contours (50 m) label
cycleway,,,Cycleway
cycling-route,,,Cycling route
cycling-shop,,,Cycling shop
_cycling-shop,,,Cycling shop
dam,,,Dam
_dam,,,Dam
dangeruos-spot,,,Dangeruos spot
defensive-castle,,,Defensive castle
_defensive-castle,,,Defensive castle
doctors,,,Doctors
downhill,,,Downhill
drag-lift,,,Drag lift
drinking-water,,,Drinking water
_dry-land,,,Dry land
electrified-railway,,,Electrified railway
elevation,,,Elevation
embankment,,,Embankment
embassy,,,Embassy
farm,,,Farm
farmland,,,Farmland
fast-food,,,Fast food
fence-wall,,,"Fence, wall"
fire-station,,,Fire station
footway,,,Footway
forest,,,Forest
gate,,,Gate
_gate,,,Gate
glacier,,,Glacier
golf-court,,,Golf court
gondola,,,Gondola
grass-unpaved-track,,,Grass unpaved track
_grass-unpaved-track,,,Grass unpaved track
gravel-track,,,Gravel track
_gravel-track,,,Gravel track
green-dotted-hiking-trail,,,Green dotted hiking trail
green-hiking-trail,,,Green hiking trail
green-hiking-trail-branch-to-a-castle,,,Green hiking trail branch to a castle
green-hiking-trail-branch-to-a-peak,,,Green hiking trail branch to a peak
green-hiking-trail-branch-to-a-poi,,,Green hiking trail branch to a POI
green-hiking-trail-branch-to-a-spring,,,Green hiking trail branch to a spring
green-nature-trail,,,Green nature trail
green-spa-path,,,Green spa path
green-supplementary-hiking-trail,,,Green supplementary hiking trail
guest-house,,,Guest house
hedge,,,Hedge
high-voltage-power-line,,,High voltage power line
